variant,driver_mix,episode_id,step,theta_name,npc_driver_types,ego_position_before,ego_speed_before,nearest_position_before,nearest_speed_before,nearest_lane_before,distance_before,distance_after,action,best_score,verified_score,fallback_triggered
baseline,all_normal,3,4,aggressive,normal|normal|normal|normal,"[149.4517429351805, 4.0]",30.37421321868889,"[163.4749590241609, 4.0]",18.310976350632593,"('a', 'b', 1)",14.023216088980405,5.0,"[-0.1406525820493698, 0.0]",6018.595060785181,2014.7278881252353,False
baseline,all_normal,6,10,aggressive,normal|normal|normal|normal,"[255.3004823684688, 4.0]",16.341169595718288,"[269.54050190601265, 2.722593870171878]",1.2679657134925777,"('b', 'c', 1)",14.297199825495651,3.0660446624954307,"[-0.12568625807762146, 0.0]",9013.732654930353,3006.455687773153,False
baseline,all_normal,11,10,cautious,normal|normal|normal|normal,"[251.55045388539625, 4.0]",17.928096532821627,"[269.6245779663517, 3.558607602773041]",1.2679657134925777,"('b', 'c', 1)",18.079512950909468,5.185546281505769,"[-0.16412799060344696, 0.0]",9031.690400026875,3006.400580629093,False
baseline,all_normal,15,4,cautious,normal|normal|normal|normal,"[150.91868235270164, 4.0]",30.85656833648674,"[161.96795902935042, 4.0]",18.596391042235393,"('a', 'b', 1)",11.049276676648788,5.222691590766895,"[-0.3293454945087433, 0.0]",5034.415395683913,6028.672212436929,False
baseline,all_normal,19,10,cautious,normal|normal|normal|normal,"[251.96570685704532, 4.0]",16.64756202697749,"[269.5835122634192, 3.47701824896799]",1.2679657134925777,"('b', 'c', 1)",17.625566012153186,5.201862797294378,"[-0.8744125962257385, 0.0]",20067.398246420023,20192.003051980533,False
baseline,all_normal,23,9,cautious,normal|normal|normal|normal,"[246.14129991531354, 4.0]",19.18724441528317,"[266.3978390117482, 5.4062385518408306e-09]",20.32320963534934,"('b', 'c', 0)",20.647696629942438,5.18896654503818,"[-0.18909704685211182, 0.0]",6063.424576155652,5009.2286652823805,False
baseline,all_normal,27,9,cautious,normal|normal|normal|normal,"[244.29025055567388, 4.0]",26.090118408203047,"[267.4314848068094, 4.059320929231944]",3.5690765330766077,"('b', 'c', 1)",23.141310283529176,4.527094519786814,"[-0.30000001192092896, 0.0]",6022.579263320117,6022.553965946041,False
baseline,all_normal,28,5,cautious,normal|normal|normal|normal,"[185.18437382380174, 4.0]",28.877614498138424,"[192.27526627725572, 4.0]",21.399426673397393,"('a', 'b', 1)",7.090892453453989,5.0,"[-0.5534764528274536, 0.0]",5035.700283010979,16077.918668153558,False
baseline,all_normal,37,7,cautious,normal|normal|normal|normal,"[226.9128254890445, 4.0]",22.826645851135307,"[232.44441349308264, 4.0]",19.563424563865308,"('b', 'c', 1)",5.531588004038127,5.151108850986718,"[-0.9927759766578674, 0.0]",18072.63964107801,19208.025097903654,False
baseline,all_normal,38,5,aggressive,normal|normal|normal|normal,"[184.12141092618293, 4.0]",27.78284430503841,"[194.0610014938519, 4.0]",21.43907830592922,"('a', 'b', 1)",9.939590567668972,5.0,"[-0.3265838921070099, 0.0]",6025.042364169806,5012.142728904351,False
baseline,all_normal,39,7,normal,normal|normal|normal|normal,"[225.09268105824754, 4.0]",24.425428867339996,"[231.08682914731222, 4.0]",19.92639037768122,"('b', 'c', 1)",5.99414808906468,5.0,"[-0.30000001192092896, 0.0]",7015.548750860022,7015.914981525137,False
baseline,all_normal,41,5,cautious,normal|normal|normal|normal,"[179.37752993901591, 4.0]",28.21064949035648,"[188.21755876924232, 4.0]",21.3363208811,"('a', 'b', 1)",8.840028830226402,5.0,"[-0.18550775945186615, 0.0]",16064.85580776825,5010.885265060844,False
